Mean,Std,RMS,Variance,Peak,Peak_to_Peak,Skewness,Kurtosis,Class
0.012420968,0.074959953,0.07598207,0.005618994,0.217794462,0.416396308,-0.162976113,-0.243664265,Healthy
0.011588951,0.069465357,0.070425419,0.004825436,0.272868923,0.485030769,-0.107385997,0.184816746,Healthy
0.014643415,0.076996426,0.078376522,0.00592845,0.212370462,0.420568615,0.050328592,-0.376181942,Healthy
0.010937028,0.078933946,0.079688057,0.006230568,0.226764923,0.449774769,-0.163587665,-0.03456398,Healthy
0.013358922,0.074921902,0.076103562,0.005613291,0.188588308,0.375507692,-0.028447952,-0.321608503,Healthy
0.010558709,0.071756283,0.072528964,0.005148964,0.219254769,0.421403077,0.082604191,-0.105765167,Healthy
0.01092236,0.072633801,0.073450439,0.005275669,0.249295385,0.448523077,-0.122924135,-0.24875088,Healthy
0.009647035,0.073293327,0.073925483,0.005371912,0.247417846,0.462917538,-0.171045183,0.102019133,Healthy
0.011965641,0.071362689,0.072358897,0.005092633,0.220715077,0.424323692,-0.087655757,-0.082597632,Healthy
0.010067118,0.071155336,0.071863959,0.005063082,0.224678769,0.404505231,-0.079487279,-0.329761092,Healthy
0.01047783,0.068308088,0.069107017,0.004665995,0.191508923,0.379471385,-0.033889524,-0.054008365,Healthy
0.013187996,0.07490683,0.076058901,0.005611033,0.208824,0.408051692,-0.230945781,-0.159393982,Healthy
0.009946105,0.068659826,0.069376485,0.004714172,0.190465846,0.370709538,-0.082057406,-0.36995727,Healthy
0.011931618,0.072916444,0.073886205,0.005316808,0.236778462,0.452695385,-0.124278959,-0.063561534,Healthy
0.010841684,0.071159966,0.071981128,0.005063741,0.198184615,0.382809231,-0.021717271,-0.324587471,Healthy
0.01326582,0.071676168,0.072893449,0.005137473,0.219672,0.406174154,-0.071407735,-0.259378769,Healthy
0.010073026,0.072135105,0.072835013,0.005203473,0.186919385,0.372169846,-0.136800081,-0.378456026,Healthy
0.013614599,0.074423403,0.075658444,0.005538843,0.210492923,0.416604923,0.009714472,-0.411182864,Healthy
0.011901874,0.073276563,0.074236846,0.005369455,0.248252308,0.434545846,-0.131802596,-0.246214244,Healthy
0.010864502,0.06732263,0.06819365,0.004532336,0.194638154,0.368206154,-0.042998834,-0.295741804,Healthy
0.013106302,0.078154903,0.079246224,0.006108189,0.238238769,0.457910769,-0.011745137,-0.189970482,Healthy
0.013245243,0.068337365,0.069609137,0.004669995,0.198810462,0.392822769,-0.145307658,-0.286884676,Healthy
0.012805603,0.074638743,0.07572929,0.005570942,0.217168615,0.406382769,-0.096360982,-0.423368689,Healthy
0.011193316,0.071425456,0.072297206,0.005101596,0.208615385,0.414936,-0.021802343,-0.209691908,Healthy
0.013751095,0.072109832,0.073409267,0.005199828,0.195889846,0.390528,-0.15863958,-0.428977027,Healthy
0.008959868,0.075734128,0.076262293,0.005735658,0.218420308,0.426618462,-0.150298564,-0.169400012,Healthy
0.009831204,0.074200063,0.074848527,0.005505649,0.199019077,0.382600615,-0.061664004,-0.571800638,Healthy
0.009856466,0.076327094,0.076960868,0.005825825,0.209032615,0.410137846,-0.191228232,-0.352226785,Healthy
0.008785886,0.06934066,0.069895056,0.004808127,0.286637538,0.518200615,-0.121044193,0.457069713,Healthy
0.008383731,0.071165589,0.071657714,0.005064541,0.21696,0.415353231,-0.051260602,-0.439578814,Healthy
0.009718747,0.069064657,0.069745114,0.004769927,0.205277538,0.406382769,-0.170672269,-0.223083374,Healthy
0.010753675,0.074914558,0.075682445,0.005612191,0.220715077,0.425992615,-0.083443646,-0.477522034,Healthy
0.008036378,0.070407731,0.070864885,0.004957249,0.220297846,0.428913231,-0.066037475,-0.127917099,Healthy
0.013429819,0.071276256,0.07253044,0.005080305,0.195681231,0.386564308,-0.037849666,-0.371852494,Healthy
0.011210021,0.074736746,0.075572784,0.005585581,0.227808,0.427244308,-0.082031872,-0.347692262,Healthy
0.012458046,0.069266984,0.070378391,0.004797915,0.190465846,0.370709538,-0.058314728,-0.251913612,Healthy
0.013596874,0.070887282,0.072179511,0.005025007,0.230937231,0.449357538,-0.072302946,-0.130120485,Healthy
0.014146934,0.073689129,0.075034815,0.005430088,0.240116308,0.436632,-0.107883879,-0.284120309,Healthy
0.01260697,0.071500045,0.072602976,0.005112256,0.225096,0.413267077,0.07561853,-0.194875852,Healthy
0.012720038,0.068825192,0.069990759,0.004736907,0.206320615,0.390110769,-0.014581295,-0.35285539,Healthy
0.014594317,0.073602266,0.075035243,0.005417294,0.252633231,0.461248615,0.020860709,-0.143217611,Healthy
0.010259843,0.072121657,0.072847772,0.005201533,0.201731077,0.396995077,0.036513041,-0.342987486,Healthy
0.014372255,0.072601513,0.074010414,0.00527098,0.248669538,0.470427692,0.043638447,0.08219978,Healthy
0.013575483,0.071893561,0.073164048,0.005168684,0.222175385,0.423280615,-0.093568612,-0.062673788,Healthy
0.01235435,0.071325937,0.072387977,0.005087389,0.224678769,0.402836308,0.095423021,-0.265895682,Healthy
0.01402857,0.076724835,0.077996802,0.0058867,0.253676308,0.457702154,0.055084714,-0.047115016,Healthy
0.013068002,0.069931588,0.071142109,0.004890427,0.184416,0.363616615,-0.108009932,-0.264001819,Healthy
0.012590672,0.077668762,0.078682664,0.006032437,0.243662769,0.464377846,-0.009238374,-0.296183638,Healthy
0.012961046,0.07158187,0.07274581,0.005123964,0.311254154,0.491915077,0.19939432,0.337167961,Healthy
0.015218737,0.076041348,0.077549317,0.005782287,0.222175385,0.433294154,-0.017627955,-0.371293949,Healthy
0.011724225,0.067007838,0.068025788,0.00449005,0.233023385,0.403879385,-0.115885412,-0.131213655,Healthy
0.013636805,0.072285554,0.073560612,0.005225201,0.252633231,0.473139692,-0.053084828,0.038270885,Healthy
0.011973178,0.071745753,0.072737955,0.005147453,0.228642462,0.429121846,-0.038510942,-0.221978247,Healthy
0.015359511,0.069370256,0.071050313,0.004812232,0.204025846,0.404505231,-0.010499165,-0.470354897,Healthy
0.011767008,0.069820194,0.070804816,0.00487486,0.205277538,0.386981538,0.087696728,-0.249416533,Healthy
0.01414123,0.070272744,0.071681469,0.004938259,0.217168615,0.433711385,0.07614737,-0.22573248,Healthy
0.012000274,0.071041102,0.072047517,0.005046838,0.271408615,0.494835692,0.067004591,0.02801392,Healthy
0.012189332,0.072866675,0.073879173,0.005309552,0.260143385,0.453112615,0.240541312,0.136354174,Healthy
0.014478804,0.073467528,0.074880661,0.005397478,0.232814769,0.418482462,0.029475145,-0.261795176,Healthy
0.01202248,0.068929564,0.069970171,0.004751285,0.264524308,0.483779077,-0.194847627,0.268768215,Healthy
0.01373113,0.073098051,0.074376535,0.005343325,0.212579077,0.407843077,-0.044866104,-0.231173789,Healthy
0.012315234,0.070484195,0.071551986,0.004968022,0.233023385,0.409303385,0.095851338,-0.149069253,Healthy
0.012882407,0.068075757,0.069283945,0.004634309,0.192134769,0.376133538,-0.077056429,-0.417772671,Healthy
0.009888247,0.071631742,0.072311022,0.005131107,0.220506462,0.410137846,0.13528572,-0.104192561,Healthy
0.013025423,0.072811522,0.073967421,0.005301518,0.206737846,0.403253538,-0.185963943,-0.136338069,Healthy
0.011015055,0.074883118,0.075688922,0.005607481,0.226139077,0.438926769,0.001018674,-0.203903456,Healthy
0.009781902,0.067551014,0.068255586,0.004563139,0.197976,0.379054154,-0.00908198,-0.147532216,Healthy
0.011563078,0.071547968,0.072476317,0.005119112,0.189631385,0.369249231,0.050268534,-0.531518569,Healthy
0.012520794,0.07223403,0.073311154,0.005217755,0.236987077,0.454572923,0.0623178,0.164465515,Healthy
0.013452229,0.073716989,0.074934351,0.005434194,0.224678769,0.425366769,-0.050586319,-0.18047428,Healthy
0.012227632,0.068931899,0.070008012,0.004751607,0.188796923,0.348387692,-0.001729452,-0.565883877,Healthy
0.012744485,0.070305665,0.071451441,0.004942887,0.230311385,0.438926769,-0.009293576,-0.086174932,Healthy
0.009855447,0.075944035,0.076580848,0.005767496,0.225930462,0.434128615,0.034418762,-0.152025152,Healthy
0.014344345,0.067610838,0.069115741,0.004571225,0.185459077,0.346301538,0.019682162,-0.464159631,Healthy
0.012262266,0.074393307,0.075397131,0.005534364,0.227808,0.447688615,-0.114249617,-0.129646031,Healthy
0.012698239,0.067790356,0.068969396,0.004595532,0.192552,0.364868308,-0.013986276,-0.378489494,Healthy
0.011630511,0.072728893,0.073652975,0.005289492,0.246166154,0.448523077,-0.063342639,-0.244911997,Healthy
0.011926933,0.066443165,0.067505155,0.004414694,0.221132308,0.422863385,-0.133079223,0.226953557,Healthy
0.012848385,0.070554235,0.07171458,0.0049779,0.245957538,0.462083077,0.031141902,-0.303577378,Healthy
0.010191595,0.072022956,0.072740462,0.005187306,0.197141538,0.391571077,-0.073742324,-0.350852905,Healthy
